CarID,ModelID,Engine_Size,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerName
C00772,6,1.6,Diesel,2016,27842,29387,Warner-Payne
C00773,4,1.2,Hybrid,2015,39606,17681,Smith-Houston
C00774,11,2.4,Petrol,1996,284839,1414,Carr-Shaw
C00775,11,1.8,Hybrid,2017,30794,46103,Carr-Shaw
C00777,15,1.2,Petrol,1991,163174,1241,Brewer-Sosa
C00780,4,1.0,Petrol,1997,215739,1043,Richard-George
C00792,4,1.0,Petrol,2008,67377,7080,"Bailey, Grant and Carter"
C00794,6,1.8,Diesel,1998,164481,3525,"Hawkins, Stark and Campos"
C00801,15,1.4,Petrol,2017,58793,16569,"Bailey, Grant and Carter"
C00803,5,1.6,Diesel,2004,93927,8692,Richard-George
C00811,11,1.8,Hybrid,2015,49497,36072,Collins and Sons
C00812,10,1.0,Hybrid,1988,108794,2516,Adams-Kelly
C00817,4,1.0,Petrol,1992,268571,460,"Black, Black and Bishop"
C00822,15,1.0,Petrol,1995,168060,1420,Aguilar LLC
C00826,10,1.8,Hybrid,2010,49300,22017,"Bailey, Grant and Carter"
C00828,14,1.8,Petrol,2004,100008,8796,"Proctor, Villarreal and Hurley"
C00832,11,2.4,Hybrid,2020,19435,69312,Little-Mcconnell
C00840,13,2.0,Petrol,2015,66206,19598,Brewer-Sosa
C00843,13,1.4,Diesel,1996,126814,3130,Cruz-Castro
C00844,5,2.0,Petrol,2012,115289,13471,"Proctor, Villarreal and Hurley"
C00845,10,1.8,Hybrid,1994,132870,4184,Ingram-Mitchell
C00848,12,1.2,Petrol,1986,256473,438,Brown Group
C00849,3,2.4,Petrol,2016,33380,36980,Johnson and Sons
C00851,1,4.4,Petrol,2010,78948,45287,Johnson-Turner
C00854,12,1.2,Petrol,1999,157966,2493,"Hawkins, Stark and Campos"
C00858,12,1.2,Hybrid,2016,47924,20806,Wilcox LLC
C00862,6,1.6,Petrol,2003,156535,4720,Vasquez-Murphy
C00863,12,1.4,Hybrid,2006,126743,6628,Warner-Payne
C00867,5,2.0,Diesel,2000,206817,2972,Sandoval Group
C00874,13,1.6,Petrol,1986,311658,316,"Walker, Baxter and Daniel"
C00875,6,1.4,Diesel,2004,148376,5299,Sandoval Group
C00880,15,1.2,Petrol,2014,71010,11591,Nelson-Miller
C00884,12,1.4,Hybrid,2016,32161,24697,Johnson and Sons
C00885,15,2.0,Petrol,2015,68047,16315,Smith Ltd
C00891,4,1.4,Petrol,2013,56754,12528,Guzman-Logan
C00893,6,2.0,Petrol,2002,150200,5201,Ingram-Mitchell
C00897,12,1.0,Petrol,2004,133498,3874,Wilson and Sons
C00899,10,1.8,Hybrid,1994,219451,2003,Johnson-Turner
C00903,10,1.4,Hybrid,2013,39929,25111,"Perez, Gordon and Thomas"
C00905,3,2.2,Petrol,2014,49329,28150,Smith Ltd
C00912,10,1.4,Hybrid,2010,102038,13567,"Black, Black and Bishop"
C00914,11,2.0,Hybrid,1994,144450,4725,"Proctor, Villarreal and Hurley"
C00915,6,1.6,Hybrid,2007,106403,10975,Brown Inc
C00919,10,1.4,Hybrid,2017,34908,33775,Villa and Sons
C00920,6,1.6,Diesel,2017,70518,24108,"Kramer, Alvarez and Davis"
C00924,1,4.0,Petrol,2011,66966,50043,Aguilar LLC
C00927,14,2.0,Diesel,2018,30929,38967,Mclean-Miller
C00928,13,1.4,Diesel,2016,32129,22735,Hancock PLC
C00929,4,1.2,Petrol,2000,83148,4087,"Black, Black and Bishop"
C00931,9,4.0,Petrol,1999,217039,5402,"Walker, Baxter and Daniel"
C00933,11,1.8,Petrol,1991,71702,5257,Brewer-Sosa
C00937,6,1.4,Diesel,2009,9700,19035,Perez Group
C00939,4,1.2,Petrol,1998,155188,2061,Wilcox LLC
C00940,11,2.2,Hybrid,2018,40276,51529,Johnson-Turner
C00941,2,3.0,Diesel,2007,160639,10016,Carr-Shaw
C00944,11,2.2,Hybrid,1991,199870,2537,"Perez, Gordon and Thomas"
C00950,7,2.0,Petrol,2021,17045,62459,Cruz-Castro
C00951,10,1.8,Hybrid,1995,104560,5555,"Simmons, Fields and Wolf"
C00952,5,1.4,Diesel,1985,296935,398,Miller-Hoover
C00954,10,1.0,Hybrid,2001,105569,6131,Adams-Kelly
C00958,5,2.0,Diesel,2011,92931,15609,Sandoval Group
C00960,9,3.5,Petrol,1992,134759,6380,Mclean-Miller
C00961,6,1.6,Diesel,2018,39007,31463,Little-Mcconnell
C00962,9,3.0,Petrol,1991,262591,1808,"Kramer, Alvarez and Davis"
C00963,4,1.0,Petrol,2006,99846,4941,Turner-Walton
C00967,5,1.4,Petrol,1997,183699,2374,"Perez, Gordon and Thomas"
C00968,15,2.0,Petrol,1997,210040,1594,"Walker, Baxter and Daniel"
C00972,4,1.4,Petrol,2008,106701,6350,"Proctor, Villarreal and Hurley"
C00978,6,1.4,Diesel,2014,54353,20513,Perez Group
C00980,11,2.2,Hybrid,2003,158353,8057,Johnson-Turner
C00986,12,1.2,Petrol,2010,63891,10499,Cruz-Castro
C00987,10,1.0,Hybrid,1998,226061,1836,Sandoval Group
C00990,10,1.4,Hybrid,2019,17850,42501,Wilson and Sons
C00992,13,1.8,Petrol,2006,115534,7182,Brown Inc
C00994,2,2.4,Diesel,2010,80183,20277,Sandoval Group
C00999,14,1.4,Petrol,2019,32159,32955,"Black, Black and Bishop"
C01001,14,1.4,Diesel,1996,146496,3335,Smith-Houston
C01004,11,1.8,Hybrid,2019,28643,53333,Adams-Kelly
C01006,5,1.0,Petrol,2017,36279,22730,Schroeder and Sons
C01009,11,2.4,Hybrid,1994,179147,3875,Day LLC
C01013,14,2.0,Diesel,2001,137020,6004,Miller-Hoover
C01024,13,1.6,Petrol,2005,155998,4592,Sandoval Group
C01025,6,1.4,Diesel,2012,84523,14681,Johnson-Turner
C01031,7,2.0,Petrol,1992,139701,3916,"Davis, Guerrero and Vasquez"
C01033,14,1.8,Diesel,2018,17733,39806,Vasquez-Murphy
C01034,12,1.4,Hybrid,2005,138391,5655,"Walker, Baxter and Daniel"
C01035,11,2.2,Hybrid,2007,106025,15892,"Kramer, Alvarez and Davis"
C01040,15,1.4,Petrol,2005,92815,5906,Sandoval Group
C01044,12,1.4,Hybrid,2018,30227,28537,Johnson-Turner
C01046,11,1.8,Petrol,2014,68816,24833,Warner-Payne
C01048,10,1.0,Hybrid,1986,388340,176,Schroeder and Sons
C01049,3,2.4,Petrol,1991,83097,5078,"Proctor, Villarreal and Hurley"
C01053,14,2.0,Petrol,2019,20255,42130,Carr-Shaw
C01054,14,1.8,Petrol,2019,23657,39221,Villa and Sons
C01069,13,1.4,Petrol,1990,224581,871,Richard-George
C01073,15,1.2,Petrol,2007,100290,5918,"Perez, Gordon and Thomas"
C01078,9,3.5,Petrol,2000,72180,17243,Ingram-Mitchell
C01079,14,1.6,Diesel,2003,78657,9478,Peterson-Ewing
C01091,13,1.8,Petrol,2017,48884,23735,"Wagner, Cobb and Jenkins"
C01093,6,2.0,Diesel,2006,125400,8692,"Bailey, Grant and Carter"
C01098,12,1.2,Hybrid,2014,39516,19163,Johnson-Turner
C01101,14,1.8,Diesel,1999,229552,2251,Perez Group
C01107,4,1.2,Petrol,2014,66436,11642,Hancock PLC
C01108,6,2.0,Diesel,2019,24918,40799,"Walker, Baxter and Daniel"
C01109,13,1.4,Petrol,2004,117702,5452,Allen-Jones
C01110,2,2.4,Diesel,1986,277340,777,Carr-Shaw
C01112,8,2.6,Petrol,2001,165822,11580,Wilcox LLC
C01114,14,1.4,Diesel,2018,36967,31473,"Proctor, Villarreal and Hurley"
C01115,3,2.4,Petrol,2008,56202,18875,"Wagner, Cobb and Jenkins"
C01119,4,1.2,Petrol,2021,19592,24655,Smith LLC
C01122,4,1.0,Petrol,1994,81787,2525,"Kramer, Alvarez and Davis"
C01123,14,2.0,Diesel,2001,129028,6396,"Hawkins, Stark and Campos"
C01125,1,5.0,Petrol,1998,205490,7888,Vasquez-Murphy
C01127,6,1.4,Diesel,2012,79905,15160,"Walker, Baxter and Daniel"
C01128,2,2.4,Petrol,2019,12444,53292,Peterson-Ewing
C01132,5,1.6,Hybrid,1994,207614,2022,Johnson-Wilkinson
C01134,4,1.0,Petrol,2001,155581,2291,Johnson-Turner
C01139,6,1.8,Diesel,1998,191733,2792,"Simmons, Fields and Wolf"
C01140,15,1.2,Petrol,2021,13434,26161,Richard-George
C01144,11,1.8,Hybrid,2000,35676,14427,Wilcox LLC
C01147,14,2.0,Diesel,2004,130619,7715,Wilson and Sons
C01158,6,2.0,Diesel,2014,46986,25671,Gonzales-Morales
C01163,12,1.4,Petrol,2003,142566,3988,Johnson and Sons
C01164,11,2.0,Hybrid,2020,34532,58082,"Brooks, Thomas and Davis"
C01165,15,1.6,Petrol,2002,93297,5151,Miller-Hoover
C01166,15,2.0,Petrol,1999,131279,3541,Macdonald Inc
C01167,13,2.0,Hybrid,2004,166211,5294,"Davis, Guerrero and Vasquez"
C01175,3,2.0,Petrol,2022,9552,57460,"Kramer, Alvarez and Davis"
C01176,6,1.4,Diesel,2002,152196,4495,Allen-Jones
C01180,12,1.2,Hybrid,2010,37574,14848,"Wagner, Cobb and Jenkins"
C01181,4,1.4,Diesel,1994,143966,1962,Miller-Hoover
C01182,15,1.6,Diesel,2010,40807,13043,Wilson and Sons
C01183,14,1.6,Diesel,2006,129468,7956,Schroeder and Sons
C01184,3,2.4,Petrol,2019,22543,48043,"Proctor, Villarreal and Hurley"
C01186,1,4.4,Petrol,2012,77277,52343,Macdonald Inc
C01189,12,1.4,Petrol,2018,23959,24642,Lucas PLC
C01190,13,1.6,Diesel,1998,77547,5491,Warner-Payne
C01191,11,2.2,Hybrid,1999,89980,10476,Wilcox LLC
C01195,15,1.0,Petrol,2010,81108,7565,"Walker, Baxter and Daniel"
C01198,12,1.0,Petrol,2021,10853,27315,Hancock PLC
C01214,1,4.0,Petrol,2012,43043,62254,Perez Group
C01220,1,4.4,Petrol,2005,92852,29430,Lucas PLC
C01222,15,1.0,Diesel,2010,88166,7560,Vasquez-Murphy
C01227,14,1.6,Diesel,1995,202740,2067,Vasquez-Murphy
C01228,5,1.6,Hybrid,2014,46758,26520,Sandoval Group
C01232,12,1.2,Hybrid,2014,19626,21478,Aguilar LLC
C01233,10,1.0,Hybrid,2016,54508,23695,Turner-Walton
C01241,12,1.2,Petrol,1997,205741,1447,Schroeder and Sons
C01244,8,3.0,Petrol,1996,143278,10732,"Perez, Gordon and Thomas"
C01247,15,1.0,Petrol,2008,123093,4864,Mclean-Miller
C01254,12,1.4,Petrol,2013,25267,17527,Nelson-Miller
C01271,6,1.6,Hybrid,2018,21913,39675,Aguilar LLC
C01272,13,1.8,Petrol,2014,63259,17733,Allen-Jones
C01275,14,1.8,Diesel,2008,92709,12712,Johnson-Turner
C01277,10,1.4,Hybrid,2005,149848,6701,Carr-Shaw
C01278,12,1.4,Petrol,2003,131933,4341,Guzman-Logan
C01279,8,2.2,Petrol,2016,33681,75392,Smith LLC
C01282,14,1.8,Diesel,2004,71425,11287,Schroeder and Sons
C01283,8,3.5,Petrol,2005,110347,27310,"Simmons, Fields and Wolf"
