CarID,FeatureName
C01035,Bluetooth
C01035,Cruise Control
C01035,Heated Seats
C01040,Air Conditioning
C01040,Sunroof
C01044,Air Conditioning
C01044,Bluetooth
C01044,Cruise Control
C01044,Heated Seats
C01046,Sunroof
C01048,Heated Seats
C01048,Sunroof
C01049,Air Conditioning
C01049,Bluetooth
C01049,Heated Seats
C01049,Navigation
C01053,Cruise Control
C01053,Heated Seats
C01053,Navigation
C01053,Sunroof
C01054,Bluetooth
C01054,Cruise Control
C01054,Heated Seats
C01054,Sunroof
C01069,Bluetooth
C01069,Cruise Control
C01069,Sunroof
C01073,Navigation
C01078,Air Conditioning
C01078,Cruise Control
C01078,Navigation
C01078,Sunroof
C01079,Air Conditioning
C01079,Bluetooth
C01079,Sunroof
C01091,Bluetooth
C01091,Cruise Control
C01091,Heated Seats
C01091,Sunroof
C01093,Air Conditioning
C01093,Heated Seats
C01093,Navigation
C01098,Navigation
C01101,Air Conditioning
C01101,Heated Seats
C01101,Sunroof
C01107,Navigation
C01108,Heated Seats
C01109,Air Conditioning
C01109,Heated Seats
C01109,Sunroof
C01110,Cruise Control
C01110,Sunroof
C01112,Cruise Control
C01112,Navigation
C01114,Bluetooth
C01114,Cruise Control
C01115,Air Conditioning
C01115,Bluetooth
C01119,Bluetooth
C01119,Heated Seats
C01119,Navigation
C01122,Air Conditioning
C01122,Bluetooth
C01122,Cruise Control
C01122,Heated Seats
C01123,Cruise Control
C01123,Navigation
C01125,Heated Seats
C01125,Navigation
C01127,Heated Seats
C01128,Heated Seats
C01128,Navigation
C01128,Sunroof
C01132,Cruise Control
C01132,Heated Seats
C01132,Navigation
C01134,Sunroof
C01139,Air Conditioning
C01139,Bluetooth
C01140,Air Conditioning
C01140,Navigation
C01144,Air Conditioning
C01144,Heated Seats
C01144,Navigation
C01147,Bluetooth
C01147,Cruise Control
C01158,Bluetooth
C01163,Bluetooth
C01163,Cruise Control
C01163,Heated Seats
C01163,Navigation
C01164,Heated Seats
C01165,Air Conditioning
C01165,Cruise Control
C01165,Heated Seats
C01165,Sunroof
C01166,Sunroof
C01167,Bluetooth
C01167,Heated Seats
C01167,Navigation
C01167,Sunroof
C01175,Air Conditioning
C01175,Bluetooth
C01175,Heated Seats
C01176,Air Conditioning
C01176,Sunroof
C01180,Cruise Control
C01180,Heated Seats
C01180,Navigation
C01181,Bluetooth
C01181,Navigation
C01182,Bluetooth
C01182,Navigation
C01182,Sunroof
C01183,Bluetooth
C01183,Sunroof
C01184,Heated Seats
C01186,Air Conditioning
C01186,Navigation
C01189,Heated Seats
C01190,Air Conditioning
C01190,Bluetooth
C01190,Heated Seats
C01190,Navigation
C01191,Air Conditioning
C01191,Cruise Control
C01191,Heated Seats
C01191,Navigation
C01195,Bluetooth
C01195,Cruise Control
C01195,Heated Seats
C01195,Navigation
C01198,Air Conditioning
C01198,Cruise Control
C01198,Heated Seats
C01198,Navigation
C01214,Heated Seats
C01214,Sunroof
C01220,Cruise Control
C01220,Navigation
C01222,Air Conditioning
C01222,Cruise Control
C01222,Navigation
C01222,Sunroof
C01227,Air Conditioning
C01227,Cruise Control
C01227,Navigation
C01227,Sunroof
C01228,Bluetooth
C01228,Cruise Control
C01228,Navigation
C01228,Sunroof
C01232,Bluetooth
C01232,Navigation
C01232,Sunroof
C01233,Bluetooth
C01233,Cruise Control
C01233,Navigation
C01233,Sunroof
C01241,Air Conditioning
C01241,Heated Seats
C01241,Navigation
C01241,Sunroof
C01244,Heated Seats
C01244,Navigation
C01247,Air Conditioning
C01247,Cruise Control
C01247,Heated Seats
C01247,Sunroof
C01254,Air Conditioning
C01254,Bluetooth
C01254,Cruise Control
C01254,Navigation
C01271,Bluetooth
C01271,Navigation
C01271,Sunroof
C01272,Cruise Control
C01272,Sunroof
C01275,Bluetooth
C01275,Cruise Control
C01277,Bluetooth
C01277,Cruise Control
C01277,Heated Seats
C01277,Navigation
C01278,Bluetooth
C01278,Cruise Control
C01278,Sunroof
C01279,Bluetooth
C01279,Cruise Control
C01279,Navigation
C01279,Sunroof
C01282,Bluetooth
C01282,Navigation
C01282,Sunroof
C01283,Air Conditioning
C01283,Bluetooth
C01283,Cruise Control
C01283,Navigation
C01285,Air Conditioning
C01285,Bluetooth
C01285,Cruise Control
C01285,Sunroof
C01286,Air Conditioning
C01286,Cruise Control
C01286,Heated Seats
C01290,Heated Seats
C01292,Cruise Control
C01292,Heated Seats
C01296,Air Conditioning
C01296,Bluetooth
C01296,Navigation
C01296,Sunroof
C01304,Air Conditioning
C01304,Bluetooth
C01318,Air Conditioning
C01318,Bluetooth
C01318,Cruise Control
C01318,Heated Seats
C01319,Air Conditioning
C01320,Air Conditioning
C01320,Cruise Control
C01320,Heated Seats
C01320,Sunroof
C01322,Air Conditioning
C01322,Bluetooth
C01322,Navigation
C01324,Heated Seats
C01324,Navigation
C01327,Air Conditioning
C01327,Navigation
C01327,Sunroof
C01332,Bluetooth
C01332,Cruise Control
C01332,Heated Seats
C01332,Navigation
C01333,Heated Seats
C01336,Bluetooth
C01337,Heated Seats
C01338,Bluetooth
C01338,Navigation
C01340,Bluetooth
C01340,Heated Seats
C01345,Heated Seats
C01347,Air Conditioning
C01347,Navigation
C01347,Sunroof
C01349,Cruise Control
C01358,Bluetooth
C01358,Cruise Control
C01358,Navigation
C01358,Sunroof
C01371,Air Conditioning
C01371,Heated Seats
C01373,Bluetooth
C01373,Heated Seats
C01373,Navigation
C01378,Bluetooth
C01389,Air Conditioning
C01389,Cruise Control
C01389,Heated Seats
C01389,Navigation
C01391,Bluetooth
C01393,Air Conditioning
C01393,Cruise Control
C01393,Sunroof
C01396,Cruise Control
C01397,Cruise Control
C01398,Air Conditioning
C01398,Bluetooth
C01399,Bluetooth
C01399,Cruise Control
C01399,Navigation
C01399,Sunroof
C01401,Air Conditioning
C01401,Cruise Control
C01403,Air Conditioning
C01403,Cruise Control
C01403,Heated Seats
C01403,Navigation
C01407,Sunroof
C01411,Cruise Control
C01412,Air Conditioning
C01412,Heated Seats
C01412,Sunroof
C01413,Bluetooth
C01413,Heated Seats
C01413,Sunroof
C01414,Navigation
C01415,Sunroof
C01417,Air Conditioning
C01418,Bluetooth
C01418,Cruise Control
C01418,Heated Seats
C01418,Navigation
C01419,Air Conditioning
C01419,Cruise Control
C01419,Navigation
C01419,Sunroof
C01423,Air Conditioning
C01423,Bluetooth
C01423,Heated Seats
C01423,Navigation
C01424,Air Conditioning
C01424,Bluetooth
C01424,Heated Seats
C01424,Navigation
C01427,Cruise Control
C01427,Navigation
C01427,Sunroof
C01428,Navigation
C01430,Heated Seats
C01430,Navigation
C01431,Cruise Control
C01431,Sunroof
C01435,Heated Seats
C01435,Navigation
C01435,Sunroof
C01442,Air Conditioning
C01442,Bluetooth
C01442,Cruise Control
C01443,Navigation
C01443,Sunroof
C01445,Navigation
C01447,Air Conditioning
C01447,Cruise Control
C01447,Navigation
C01447,Sunroof
C01449,Navigation
C01452,Air Conditioning
C01452,Navigation
C01452,Sunroof
C01454,Air Conditioning
C01454,Cruise Control
C01454,Heated Seats
C01457,Air Conditioning
C01457,Bluetooth
C01457,Heated Seats
C01458,Bluetooth
C01458,Heated Seats
C01458,Navigation
C01458,Sunroof
C01459,Bluetooth
C01459,Cruise Control
C01459,Sunroof
C01464,Air Conditioning
C01464,Heated Seats
C01465,Navigation
C01466,Bluetooth
C01466,Sunroof
C01468,Air Conditioning
C01468,Heated Seats
C01468,Navigation
C01468,Sunroof
C01471,Bluetooth
C01471,Navigation
C01475,Cruise Control
C01475,Sunroof
C01479,Heated Seats
C01479,Navigation
C01481,Heated Seats
C01481,Sunroof
C01484,Cruise Control
C01485,Air Conditioning
C01485,Bluetooth
C01485,Cruise Control
C01485,Heated Seats
C01487,Bluetooth
C01487,Cruise Control
C01487,Heated Seats
C01487,Navigation
C01488,Air Conditioning
C01488,Bluetooth
C01488,Cruise Control
C01490,Bluetooth
C01490,Heated Seats
C01490,Navigation
C01491,Bluetooth
C01491,Heated Seats
C01492,Cruise Control
C01497,Heated Seats
C01497,Navigation
C01498,Sunroof
C01499,Cruise Control
C01499,Heated Seats
C01499,Navigation
C01502,Bluetooth
C01502,Heated Seats
C01502,Sunroof
C01504,Air Conditioning
C01504,Bluetooth
C01504,Navigation
C01504,Sunroof
C01508,Air Conditioning
C01509,Air Conditioning
C01509,Bluetooth
C01509,Heated Seats
C01509,Sunroof
C01511,Bluetooth
C01511,Cruise Control
C01511,Navigation
C01513,Bluetooth
C01513,Cruise Control
C01513,Heated Seats
C01513,Sunroof
C01517,Sunroof
C01522,Air Conditioning
C01522,Cruise Control
C01522,Heated Seats
C01522,Sunroof
C01535,Heated Seats
C01535,Sunroof
C01537,Bluetooth
C01537,Cruise Control
C01537,Navigation
C01537,Sunroof
C01545,Air Conditioning
C01545,Navigation
C01545,Sunroof
C01550,Air Conditioning
C01550,Bluetooth
C01550,Sunroof
C01551,Heated Seats
C01551,Sunroof
C01554,Air Conditioning
C01554,Sunroof
C01555,Air Conditioning
C01555,Cruise Control
C01555,Sunroof
C01556,Air Conditioning
C01556,Navigation
C01558,Air Conditioning
C01558,Sunroof
C01559,Air Conditioning
C01559,Bluetooth
C01563,Navigation
C01563,Sunroof
C01564,Bluetooth
C01564,Sunroof
C01566,Air Conditioning
C01566,Cruise Control
C01566,Heated Seats
C01567,Sunroof
C01571,Air Conditioning
C01571,Bluetooth
C01571,Navigation
C01571,Sunroof
C01573,Cruise Control
C01577,Heated Seats
C01584,Air Conditioning
C01584,Cruise Control
C01584,Navigation
C01584,Sunroof
C01585,Air Conditioning
C01585,Navigation
C01585,Sunroof
C01589,Bluetooth
C01589,Heated Seats
C01589,Navigation
C01591,Heated Seats
C01591,Navigation
C01591,Sunroof
C01595,Heated Seats
C01597,Bluetooth
C01597,Cruise Control
C01597,Sunroof
C01600,Air Conditioning
C01600,Heated Seats
C01600,Navigation
C01604,Air Conditioning
C01604,Cruise Control
C01604,Navigation
C01604,Sunroof
C01609,Air Conditioning
C01609,Sunroof
C01617,Air Conditioning
C01617,Navigation
C01617,Sunroof
C01619,Cruise Control
C01619,Heated Seats
C01619,Navigation
C01622,Air Conditioning
C01624,Bluetooth
C01624,Cruise Control
