ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S00811,C00275,13/03/2023,Battery Replacement,155.0
S00819,C00278,26/03/2025,Brake Replacement,310.0
S00821,C00278,17/11/2023,Major Service,108.0
S00822,C00278,27/10/2023,Wheel Alignment,107.0
S00823,C00279,23/10/2022,Oil Change,124.0
S00825,C00280,26/06/2022,Spark Plug Replacement,460.0
S00827,C00281,04/04/2022,Suspension Check,338.0
S00829,C00281,03/07/2024,Oil Change,458.0
S00835,C00284,21/05/2021,Wheel Alignment,253.0
S00836,C00284,22/09/2023,Coolant Flush,282.0
S00881,C00298,25/12/2023,Oil Change,169.0
S00882,C00298,27/07/2023,Brake Replacement,433.0
S00883,C00298,14/06/2025,Brake Replacement,130.0
S00913,C00309,11/08/2021,Suspension Check,112.0
S00914,C00310,24/06/2021,Oil Change,111.0
S00915,C00310,09/09/2021,Major Service,54.0
S00917,C00310,08/11/2020,Clutch Replacement,137.0
S00923,C00312,20/06/2022,Clutch Replacement,452.0
S00924,C00312,06/06/2024,Clutch Replacement,479.0
S00929,C00315,05/03/2023,Major Service,234.0
S00931,C00317,21/04/2023,Brake Replacement,93.0
S00932,C00317,27/12/2020,Spark Plug Replacement,123.0
S00934,C00317,28/10/2022,Major Service,263.0
S00935,C00318,23/05/2025,Wheel Alignment,472.0
S00936,C00318,07/09/2024,Coolant Flush,140.0
S00951,C00323,26/03/2022,Wheel Alignment,207.0
S00954,C00324,24/02/2021,Battery Replacement,395.0
S00956,C00324,24/04/2025,Major Service,99.0
S00962,C00327,03/12/2024,Suspension Check,153.0
S00964,C00327,03/02/2024,Brake Replacement,142.0
S00976,C00331,28/11/2024,Suspension Check,67.0
S01018,C00344,24/09/2020,Transmission Check,104.0
S01019,C00344,13/07/2022,Battery Replacement,59.0
S01022,C00344,08/06/2022,Spark Plug Replacement,424.0
S01023,C00345,04/07/2023,Transmission Check,433.0
S01096,C00370,22/02/2023,Tire Replacement,393.0
S01097,C00370,13/01/2021,Tire Replacement,260.0
S01098,C00370,19/04/2024,Coolant Flush,194.0
S01139,C00386,20/12/2021,Major Service,131.0
S01169,C00397,02/07/2022,Wheel Alignment,427.0
S01193,C00408,01/10/2022,Brake Replacement,440.0
S01194,C00408,06/09/2020,Major Service,259.0
S01195,C00408,28/09/2021,Major Service,327.0
S01201,C00410,08/06/2022,Battery Replacement,328.0
S01226,C00420,20/07/2023,Oil Change,65.0
S01238,C00424,02/06/2023,Brake Replacement,307.0
S01248,C00427,12/09/2023,Brake Replacement,350.0
S01249,C00427,05/09/2024,Coolant Flush,486.0
S01257,C00430,22/01/2023,Transmission Check,250.0
S01260,C00430,10/06/2023,Brake Replacement,461.0
S01265,C00432,16/08/2025,Air Filter Replacement,197.0
S01266,C00432,16/06/2024,Spark Plug Replacement,437.0
S01268,C00432,23/09/2021,Tire Replacement,474.0
S01284,C00437,09/10/2020,Major Service,305.0
S01285,C00437,13/03/2022,Air Filter Replacement,121.0
S01287,C00438,08/12/2021,Wheel Alignment,353.0
S01289,C00439,06/12/2020,Coolant Flush,402.0
S01290,C00439,18/10/2024,Clutch Replacement,356.0
S01294,C00442,19/05/2021,Coolant Flush,389.0
S01295,C00442,27/06/2025,Battery Replacement,219.0
S01296,C00442,14/04/2023,Tire Replacement,141.0
S01332,C00453,15/12/2023,Major Service,314.0
S01333,C00453,28/03/2021,Brake Replacement,362.0
S01334,C00453,29/12/2020,Clutch Replacement,304.0
S01341,C00455,21/08/2022,Suspension Check,53.0
S01342,C00455,12/10/2020,Wheel Alignment,84.0
S01349,C00458,18/08/2024,Suspension Check,209.0
S01350,C00458,28/02/2025,Coolant Flush,105.0
S01351,C00458,12/08/2023,Brake Replacement,79.0
S01365,C00461,02/03/2022,Wheel Alignment,122.0
S01366,C00461,09/12/2022,Spark Plug Replacement,113.0
S01376,C00465,16/01/2022,Spark Plug Replacement,452.0
S01377,C00466,17/10/2024,Suspension Check,153.0
S01389,C00469,31/08/2022,Wheel Alignment,333.0
S01391,C00469,20/01/2023,Major Service,73.0
S01392,C00469,12/04/2021,Brake Replacement,260.0
S01395,C00470,26/05/2021,Brake Replacement,295.0
S01416,C00476,21/09/2023,Tire Replacement,412.0
S01434,C00483,22/06/2024,Spark Plug Replacement,432.0
S01435,C00483,26/01/2024,Oil Change,208.0
S01436,C00483,17/08/2025,Air Filter Replacement,109.0
S01459,C00492,30/03/2021,Oil Change,367.0
S01461,C00492,30/05/2021,Transmission Check,129.0
S01462,C00492,13/09/2020,Spark Plug Replacement,180.0
S01472,C00495,15/11/2020,Major Service,193.0
S01473,C00495,20/02/2022,Wheel Alignment,363.0
S01474,C00495,25/04/2024,Tire Replacement,381.0
S01489,C00499,17/01/2022,Coolant Flush,288.0
S01490,C00499,18/07/2025,Air Filter Replacement,394.0
S01491,C00500,27/08/2025,Spark Plug Replacement,130.0
S01492,C00500,19/04/2023,Wheel Alignment,121.0
S01494,C00500,05/10/2022,Oil Change,200.0
S01500,C00502,18/04/2022,Brake Replacement,328.0
S01513,C00506,21/07/2024,Air Filter Replacement,333.0
S01514,C00506,05/08/2024,Clutch Replacement,468.0
S01515,C00506,28/12/2022,Clutch Replacement,257.0
S01523,C00509,12/11/2021,Suspension Check,148.0
S01524,C00509,24/03/2023,Spark Plug Replacement,395.0
S01545,C00517,27/09/2023,Spark Plug Replacement,475.0
S01547,C00518,24/09/2022,Brake Replacement,256.0
S01559,C00522,08/08/2023,Oil Change,175.0
S01561,C00522,29/03/2024,Brake Replacement,58.0
S01595,C00533,29/07/2023,Coolant Flush,74.0
S01596,C00533,08/05/2023,Spark Plug Replacement,309.0
S01598,C00533,20/08/2022,Coolant Flush,71.0
S01610,C00537,08/06/2021,Air Filter Replacement,243.0
S01614,C00539,08/05/2022,Transmission Check,363.0
S01615,C00539,05/11/2024,Coolant Flush,419.0
S01649,C00551,13/04/2022,Coolant Flush,434.0
S01650,C00551,09/11/2023,Major Service,103.0
S01666,C00555,08/07/2023,Battery Replacement,203.0
S01678,C00559,09/01/2021,Wheel Alignment,345.0
S01703,C00565,30/03/2021,Coolant Flush,161.0
S01730,C00574,22/11/2020,Tire Replacement,430.0
S01731,C00574,09/06/2024,Major Service,56.0
S01742,C00580,21/10/2022,Brake Replacement,385.0
S01744,C00580,28/09/2024,Spark Plug Replacement,79.0
S01745,C00580,12/09/2021,Coolant Flush,212.0
S01759,C00585,24/02/2022,Brake Replacement,500.0
S01760,C00585,12/06/2024,Transmission Check,365.0
S01761,C00585,21/04/2025,Major Service,96.0
S01763,C00586,30/06/2021,Battery Replacement,235.0
S01766,C00586,04/05/2022,Tire Replacement,433.0
S01770,C00589,15/09/2024,Major Service,170.0
S01773,C00589,28/03/2021,Oil Change,363.0
S01774,C00589,18/03/2022,Tire Replacement,339.0
S01821,C00610,11/01/2023,Clutch Replacement,226.0
S01823,C00610,09/02/2023,Suspension Check,451.0
S01850,C00619,22/03/2023,Spark Plug Replacement,148.0
S01852,C00619,20/02/2022,Wheel Alignment,237.0
S01860,C00622,10/04/2023,Wheel Alignment,108.0
S01862,C00622,03/03/2025,Suspension Check,148.0
S01863,C00622,21/10/2020,Clutch Replacement,184.0
S01871,C00625,05/06/2025,Oil Change,86.0
S01872,C00625,25/09/2020,Transmission Check,269.0
S01875,C00626,13/03/2025,Coolant Flush,197.0
S01884,C00629,12/02/2024,Suspension Check,91.0
S01891,C00631,03/11/2021,Battery Replacement,189.0
S01892,C00632,27/03/2025,Transmission Check,216.0
S01893,C00632,04/02/2024,Wheel Alignment,336.0
S01918,C00641,27/04/2021,Spark Plug Replacement,56.0
S01925,C00645,21/04/2021,Tire Replacement,375.0
S01929,C00647,09/06/2025,Air Filter Replacement,89.0
S01930,C00647,24/03/2021,Suspension Check,365.0
S01932,C00648,10/06/2025,Suspension Check,248.0
S01936,C00649,05/03/2021,Wheel Alignment,411.0
S01937,C00649,28/05/2021,Oil Change,337.0
S01943,C00652,17/11/2021,Major Service,456.0
S01957,C00656,31/01/2021,Clutch Replacement,238.0
S01970,C00660,19/05/2023,Battery Replacement,241.0
S01972,C00660,20/10/2023,Battery Replacement,219.0
S01988,C00665,09/08/2022,Oil Change,215.0
S02013,C00673,23/10/2020,Clutch Replacement,432.0
S02019,C00674,14/11/2024,Tire Replacement,214.0
S02026,C00677,29/07/2023,Spark Plug Replacement,487.0
S02027,C00677,17/11/2024,Oil Change,377.0
S02030,C00677,05/07/2021,Clutch Replacement,58.0
S02045,C00682,05/02/2022,Brake Replacement,364.0
S02048,C00682,12/10/2021,Oil Change,215.0
S02049,C00683,22/02/2022,Battery Replacement,131.0
S02050,C00683,10/11/2021,Transmission Check,233.0
S02051,C00683,10/08/2022,Tire Replacement,303.0
S02060,C00687,03/11/2022,Coolant Flush,358.0
S02061,C00687,01/03/2025,Coolant Flush,417.0
S02063,C00687,23/11/2020,Tire Replacement,204.0
S02110,C00703,22/10/2020,Clutch Replacement,53.0
S02112,C00703,05/06/2025,Clutch Replacement,60.0
S02113,C00703,20/12/2020,Tire Replacement,490.0
S02132,C00709,21/08/2024,Coolant Flush,151.0
S02134,C00710,04/10/2023,Wheel Alignment,425.0
S02139,C00711,12/07/2024,Clutch Replacement,471.0
S02140,C00711,15/08/2021,Wheel Alignment,456.0
S02181,C00724,03/05/2021,Battery Replacement,334.0
S02182,C00724,06/04/2025,Clutch Replacement,84.0
S02184,C00725,28/01/2022,Major Service,331.0
S02186,C00725,23/11/2020,Major Service,377.0
S02194,C00730,18/01/2022,Wheel Alignment,71.0
S02195,C00730,19/12/2020,Oil Change,255.0
S02206,C00734,05/07/2022,Brake Replacement,409.0
S02210,C00735,05/10/2024,Brake Replacement,305.0
S02223,C00739,16/06/2023,Tire Replacement,438.0
S02226,C00741,24/03/2025,Suspension Check,245.0
S02237,C00746,03/11/2024,Clutch Replacement,382.0
S02238,C00746,23/01/2023,Brake Replacement,213.0
S02239,C00746,21/09/2022,Transmission Check,331.0
S02247,C00748,07/01/2024,Suspension Check,439.0
S02250,C00749,29/09/2021,Major Service,108.0
S02251,C00749,25/01/2025,Clutch Replacement,162.0
S02258,C00751,21/10/2024,Wheel Alignment,273.0
S02260,C00751,06/11/2024,Tire Replacement,497.0
S02261,C00751,23/02/2024,Oil Change,305.0
S02270,C00755,12/03/2022,Tire Replacement,167.0
S02271,C00755,06/08/2024,Oil Change,224.0
S02272,C00755,24/05/2023,Tire Replacement,304.0
S02277,C00757,24/01/2025,Oil Change,456.0
S02281,C00759,29/05/2022,Brake Replacement,77.0
S02282,C00759,03/04/2025,Spark Plug Replacement,54.0
S02316,C00769,23/01/2025,Transmission Check,330.0
S02317,C00769,26/06/2023,Suspension Check,165.0
S02318,C00769,01/04/2022,Major Service,214.0
S02320,C00771,16/08/2025,Major Service,73.0
S02321,C00771,15/07/2024,Clutch Replacement,188.0
S02322,C00772,02/08/2022,Clutch Replacement,466.0
S02323,C00772,21/03/2021,Spark Plug Replacement,472.0
S02327,C00774,23/09/2021,Oil Change,406.0
S02329,C00775,14/07/2023,Air Filter Replacement,137.0
S02330,C00775,06/04/2021,Tire Replacement,55.0
S02334,C00777,08/11/2022,Air Filter Replacement,280.0
S02373,C00792,19/11/2022,Oil Change,467.0
S02378,C00794,17/01/2025,Major Service,174.0
S02381,C00794,17/11/2020,Brake Replacement,64.0
S02400,C00801,10/05/2023,Spark Plug Replacement,357.0
S02446,C00817,11/12/2021,Battery Replacement,165.0
S02447,C00817,09/04/2023,Suspension Check,435.0
S02459,C00822,01/01/2024,Suspension Check,301.0
S02469,C00826,20/10/2020,Major Service,441.0
S02471,C00826,29/12/2022,Major Service,398.0
S02477,C00828,05/03/2023,Tire Replacement,402.0
S02478,C00828,06/09/2020,Suspension Check,104.0
S02479,C00828,29/01/2022,Transmission Check,267.0
S02489,C00832,10/01/2025,Transmission Check,249.0
S02491,C00832,30/11/2024,Battery Replacement,186.0
S02492,C00832,09/02/2023,Suspension Check,201.0
S02536,C00845,21/06/2025,Major Service,462.0
S02539,C00848,19/12/2023,Clutch Replacement,432.0
S02540,C00848,08/03/2025,Suspension Check,171.0
S02541,C00848,09/04/2025,Transmission Check,323.0
S02542,C00849,04/09/2023,Major Service,296.0
S02545,C00849,26/09/2024,Wheel Alignment,145.0
S02556,C00854,26/09/2024,Suspension Check,429.0
S02566,C00858,04/09/2021,Clutch Replacement,122.0
S02567,C00858,18/01/2022,Spark Plug Replacement,357.0
S02579,C00862,11/10/2020,Coolant Flush,388.0
S02580,C00863,28/10/2023,Tire Replacement,214.0
S02581,C00863,08/09/2020,Tire Replacement,210.0
S02582,C00863,06/04/2022,Transmission Check,237.0
S02595,C00867,03/08/2025,Major Service,286.0
S02620,C00874,07/09/2020,Major Service,328.0
S02621,C00874,08/04/2022,Wheel Alignment,140.0
S02623,C00875,17/06/2024,Battery Replacement,170.0
S02625,C00875,14/12/2023,Coolant Flush,367.0
S02626,C00875,27/10/2020,Major Service,453.0
S02652,C00884,30/12/2024,Tire Replacement,247.0
S02653,C00884,04/06/2024,Coolant Flush,83.0
S02654,C00884,06/06/2022,Brake Replacement,466.0
S02655,C00885,19/01/2023,Wheel Alignment,500.0
S02657,C00885,09/01/2022,Tire Replacement,316.0
S02658,C00885,25/12/2020,Oil Change,103.0
S02675,C00891,14/08/2022,Tire Replacement,177.0
S02683,C00893,14/12/2020,Battery Replacement,135.0
S02684,C00893,08/04/2024,Major Service,397.0
S02700,C00897,10/12/2024,Oil Change,318.0
S02701,C00897,08/05/2025,Spark Plug Replacement,149.0
S02702,C00897,24/12/2020,Spark Plug Replacement,82.0
S02705,C00899,09/05/2022,Suspension Check,95.0
S02708,C00899,23/05/2023,Wheel Alignment,228.0
S02746,C00912,30/12/2020,Clutch Replacement,405.0
S02747,C00912,13/04/2021,Clutch Replacement,89.0
S02749,C00914,04/03/2021,Oil Change,276.0
S02750,C00914,27/05/2022,Suspension Check,464.0
S02751,C00914,08/05/2021,Wheel Alignment,274.0
S02760,C00919,12/12/2021,Oil Change,230.0
S02762,C00920,12/06/2023,Clutch Replacement,468.0
S02764,C00920,05/03/2022,Battery Replacement,239.0
S02775,C00927,16/02/2021,Oil Change,228.0
S02778,C00927,23/03/2023,Suspension Check,304.0
S02780,C00928,03/06/2021,Major Service,239.0
S02782,C00929,13/12/2024,Tire Replacement,69.0
S02783,C00929,30/09/2024,Wheel Alignment,125.0
S02794,C00933,28/04/2024,Tire Replacement,267.0
S02804,C00937,14/09/2024,Oil Change,483.0
S02805,C00937,20/09/2020,Oil Change,170.0
S02811,C00939,22/05/2022,Air Filter Replacement,158.0
S02812,C00939,10/09/2023,Transmission Check,418.0
S02818,C00940,26/11/2023,Tire Replacement,285.0
S02821,C00941,03/01/2022,Brake Replacement,258.0
S02842,C00950,24/06/2024,Brake Replacement,263.0
S02844,C00950,18/10/2024,Brake Replacement,262.0
S02845,C00950,01/12/2020,Wheel Alignment,409.0
S02852,C00954,22/12/2020,Oil Change,60.0
S02868,C00960,31/10/2024,Spark Plug Replacement,102.0
S02869,C00960,22/10/2024,Air Filter Replacement,347.0
S02871,C00961,25/09/2020,Oil Change,437.0
S02872,C00962,12/01/2022,Oil Change,187.0
S02873,C00962,07/05/2025,Transmission Check,320.0
S02875,C00963,01/04/2022,Suspension Check,233.0
S02877,C00963,16/03/2024,Air Filter Replacement,439.0
S02878,C00963,14/10/2022,Battery Replacement,127.0
S02890,C00967,22/03/2023,Major Service,54.0
S02893,C00968,14/08/2023,Coolant Flush,274.0
S02895,C00968,28/08/2025,Tire Replacement,265.0
S02904,C00972,05/09/2022,Spark Plug Replacement,447.0
S02905,C00972,31/01/2023,Coolant Flush,270.0
S02947,C00986,27/03/2022,Spark Plug Replacement,392.0
S02949,C00987,17/04/2022,Major Service,433.0
S02959,C00990,24/04/2023,Battery Replacement,437.0
S02961,C00990,29/10/2022,Clutch Replacement,216.0
S02990,C00999,30/11/2022,Wheel Alignment,325.0
S02991,C00999,01/10/2024,Battery Replacement,482.0
S03001,C01004,26/10/2020,Clutch Replacement,495.0
S03002,C01004,19/01/2021,Oil Change,388.0
S03003,C01004,30/03/2024,Brake Replacement,433.0
S03008,C01006,26/01/2021,Coolant Flush,313.0
S03009,C01006,12/11/2020,Air Filter Replacement,210.0
S03020,C01009,03/02/2022,Transmission Check,225.0
S03026,C01013,18/03/2022,Spark Plug Replacement,415.0
S03027,C01013,04/10/2021,Wheel Alignment,427.0
S03028,C01013,01/05/2022,Major Service,220.0
S03062,C01025,17/02/2025,Tire Replacement,71.0
S03063,C01025,13/01/2025,Air Filter Replacement,98.0
S03064,C01025,09/12/2020,Air Filter Replacement,486.0
S03076,C01031,11/06/2021,Suspension Check,303.0
S03077,C01031,26/12/2022,Major Service,153.0
S03078,C01031,23/08/2021,Transmission Check,62.0
S03084,C01033,01/01/2024,Clutch Replacement,184.0
S03085,C01033,11/03/2025,Oil Change,339.0
S03086,C01033,11/05/2021,Transmission Check,152.0
S03089,C01034,25/09/2023,Brake Replacement,433.0
S03090,C01034,26/09/2021,Battery Replacement,442.0
S03118,C01044,09/08/2022,Transmission Check,261.0
S03123,C01046,07/11/2023,Transmission Check,411.0
S03124,C01046,26/04/2022,Transmission Check,446.0
S03128,C01048,20/10/2021,Spark Plug Replacement,262.0
S03129,C01048,11/04/2023,Battery Replacement,356.0
S03141,C01054,19/06/2024,Clutch Replacement,385.0
S03142,C01054,17/01/2025,Tire Replacement,62.0
S03195,C01069,06/10/2021,Oil Change,498.0
S03224,C01078,05/04/2021,Major Service,133.0
S03264,C01091,22/05/2021,Spark Plug Replacement,402.0
S03268,C01093,03/11/2022,Clutch Replacement,198.0
S03285,C01098,28/06/2022,Coolant Flush,399.0
S03315,C01108,30/06/2024,Oil Change,303.0
S03316,C01108,18/09/2022,Brake Replacement,354.0
S03318,C01110,04/07/2023,Battery Replacement,152.0
S03320,C01110,29/05/2025,Transmission Check,133.0
S03322,C01110,20/07/2021,Coolant Flush,374.0
S03332,C01115,23/04/2021,Clutch Replacement,389.0
S03333,C01115,19/07/2024,Brake Replacement,266.0
S03334,C01115,24/09/2020,Tire Replacement,420.0
S03346,C01119,28/06/2022,Tire Replacement,259.0
S03347,C01119,14/10/2020,Brake Replacement,257.0
S03365,C01123,14/01/2022,Brake Replacement,337.0
S03371,C01125,02/01/2024,Suspension Check,415.0
S03375,C01127,13/03/2025,Air Filter Replacement,87.0
S03378,C01127,25/05/2024,Major Service,124.0
S03393,C01132,07/02/2023,Clutch Replacement,236.0
S03394,C01132,02/03/2023,Tire Replacement,92.0
S03396,C01132,11/04/2021,Clutch Replacement,327.0
S03403,C01134,06/03/2024,Wheel Alignment,242.0
S03434,C01144,18/02/2023,Wheel Alignment,379.0
S03435,C01144,29/04/2025,Battery Replacement,245.0
S03442,C01147,18/05/2024,Wheel Alignment,325.0
S03443,C01147,10/05/2024,Oil Change,168.0
S03498,C01165,29/03/2025,Major Service,113.0
S03534,C01176,17/11/2024,Battery Replacement,368.0
S03549,C01180,24/09/2024,Coolant Flush,210.0
S03550,C01181,24/01/2023,Air Filter Replacement,103.0
S03551,C01181,06/01/2021,Brake Replacement,363.0
S03557,C01183,09/02/2022,Transmission Check,422.0
S03565,C01186,11/08/2025,Tire Replacement,293.0
S03575,C01189,23/12/2021,Brake Replacement,166.0
S03576,C01189,23/08/2022,Air Filter Replacement,287.0
S03578,C01190,21/11/2020,Brake Replacement,332.0
S03580,C01190,09/10/2023,Tire Replacement,286.0
S03581,C01191,24/06/2021,Air Filter Replacement,375.0
S03582,C01191,30/03/2025,Suspension Check,201.0
S03595,C01195,02/11/2024,Coolant Flush,461.0
S03602,C01198,06/04/2022,Spark Plug Replacement,329.0
S03648,C01214,29/04/2022,Clutch Replacement,67.0
S03662,C01220,25/06/2025,Air Filter Replacement,178.0
S03663,C01220,20/12/2022,Suspension Check,341.0
S03664,C01220,08/02/2023,Clutch Replacement,400.0
S03669,C01222,22/02/2024,Transmission Check,316.0
S03679,C01227,04/11/2020,Air Filter Replacement,138.0
S03681,C01228,14/12/2022,Brake Replacement,125.0
S03696,C01232,08/10/2023,Major Service,309.0
S03718,C01241,21/09/2021,Suspension Check,87.0
S03719,C01241,24/01/2025,Major Service,438.0
S03720,C01241,02/08/2022,Brake Replacement,345.0
S03727,C01244,24/06/2025,Clutch Replacement,392.0
S03805,C01271,29/11/2024,Tire Replacement,129.0
S03808,C01271,08/11/2023,Oil Change,457.0
S03809,C01271,04/02/2025,Brake Replacement,242.0
S03810,C01272,30/12/2022,Coolant Flush,390.0
S03812,C01272,27/04/2024,Coolant Flush,411.0
S03813,C01272,13/04/2024,Coolant Flush,385.0
S03825,C01278,10/04/2023,Coolant Flush,124.0
S03829,C01279,26/03/2021,Battery Replacement,150.0
S03831,C01279,01/01/2024,Major Service,321.0
S03848,C01285,12/01/2021,Wheel Alignment,314.0
S03850,C01285,18/01/2022,Clutch Replacement,117.0
S03852,C01285,13/11/2021,Air Filter Replacement,498.0
S03856,C01286,09/09/2022,Transmission Check,288.0
S03876,C01292,03/09/2020,Coolant Flush,379.0
S03877,C01292,18/07/2024,Suspension Check,339.0
S03908,C01304,15/04/2022,Clutch Replacement,154.0
S03909,C01304,12/02/2024,Brake Replacement,363.0
S03910,C01304,07/03/2021,Clutch Replacement,320.0
S03953,C01322,13/02/2023,Brake Replacement,481.0
S03961,C01324,13/07/2025,Tire Replacement,86.0
S03962,C01324,18/08/2021,Major Service,427.0
S03995,C01336,27/09/2021,Spark Plug Replacement,309.0
S03997,C01337,02/12/2023,Wheel Alignment,352.0
S03998,C01337,19/11/2023,Tire Replacement,390.0
S04002,C01340,23/11/2021,Air Filter Replacement,202.0
S04109,C01371,28/02/2023,Wheel Alignment,146.0
S04128,C01378,02/12/2021,Battery Replacement,84.0
S04129,C01378,13/06/2022,Suspension Check,144.0
S04164,C01389,02/04/2022,Spark Plug Replacement,314.0
S04165,C01389,29/03/2022,Brake Replacement,81.0
S04168,C01391,12/12/2020,Battery Replacement,311.0
S04170,C01393,29/03/2024,Brake Replacement,368.0
S04171,C01393,19/05/2021,Suspension Check,117.0
