AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A00392,C00264,14/02/2025,Tire puncture during accident,1594.0,Moderate
A00409,C00274,14/03/2024,Hood dent from minor crash,3764.0,Moderate
A00410,C00274,22/05/2021,Rear bumper collision,1456.0,Severe
A00411,C00274,31/05/2021,Front-end collision,1017.0,Moderate
A00412,C00275,21/12/2023,Front-end collision,4713.0,Severe
A00413,C00275,28/11/2020,Rear-end hit at traffic light,3028.0,Moderate
A00414,C00275,18/12/2023,Door dent from tight parking,3626.0,Minor
A00419,C00278,22/02/2025,Minor fender bender,2093.0,Severe
A00420,C00279,30/09/2022,Collision with pole,3286.0,Major
A00421,C00279,24/11/2023,Rear-end hit at traffic light,4767.0,Major
A00422,C00280,29/03/2024,Hood dent from minor crash,3157.0,Minor
A00423,C00281,19/06/2023,Rear-end hit at traffic light,491.0,Severe
A00427,C00284,14/11/2023,Windshield damage,3668.0,Minor
A00428,C00284,25/05/2021,Damage from pothole incident,1240.0,Major
A00429,C00284,17/08/2021,Accident on slippery road,2261.0,Severe
A00432,C00286,05/07/2024,Minor collision at roundabout,2648.0,Moderate
A00438,C00290,29/10/2023,Collision with pole,249.0,Major
A00439,C00290,30/07/2025,Door dent from tight parking,3217.0,Moderate
A00442,C00293,19/12/2021,Side swipe from passing vehicle,4208.0,Major
A00443,C00293,31/12/2023,Fender scratch from curb,4577.0,Minor
A00444,C00293,17/02/2023,Door dent from tight parking,1662.0,Major
A00452,C00298,05/07/2024,Rear bumper collision,1587.0,Severe
A00461,C00305,17/11/2020,Front bumper scrape,554.0,Major
A00467,C00310,24/12/2022,Front-end collision,1157.0,Severe
A00468,C00310,26/11/2024,Door dent from tight parking,1318.0,Severe
A00469,C00310,16/11/2024,Door dent from tight parking,2167.0,Minor
A00471,C00312,06/10/2022,Front-end collision,227.0,Severe
A00472,C00312,18/02/2024,Hood dent from minor crash,1392.0,Severe
A00473,C00314,16/04/2022,Parking lot scrape,4692.0,Minor
A00476,C00317,10/12/2020,Minor collision at roundabout,2432.0,Severe
A00477,C00318,17/03/2021,Parking lot scrape,4262.0,Moderate
A00484,C00324,07/08/2021,Minor parking lot accident,1849.0,Minor
A00485,C00325,15/10/2020,Windshield damage,4681.0,Major
A00488,C00327,27/04/2025,Hood dent from minor crash,2457.0,Major
A00494,C00331,20/10/2020,Windshield damage,656.0,Moderate
A00497,C00333,30/10/2021,Tire puncture during accident,4287.0,Severe
A00498,C00333,07/01/2021,Minor parking lot accident,3145.0,Major
A00508,C00342,12/06/2024,Side mirror broken,3873.0,Severe
A00509,C00342,03/03/2022,Side panel scratch,775.0,Major
A00510,C00342,29/11/2020,Fender scratch from curb,2903.0,Severe
A00511,C00344,29/07/2025,Hood dent from minor crash,3982.0,Minor
A00512,C00345,08/04/2022,Rear bumper collision,997.0,Minor
A00513,C00345,17/01/2025,Door dent from tight parking,1629.0,Severe
A00536,C00370,12/05/2024,Minor collision at roundabout,3700.0,Major
A00537,C00370,15/06/2022,Head-on collision,2765.0,Minor
A00542,C00374,25/10/2023,Collision with pole,4318.0,Minor
A00543,C00375,13/09/2022,Minor collision at roundabout,3668.0,Moderate
A00544,C00375,10/08/2025,Collision with pole,4834.0,Severe
A00545,C00375,18/06/2022,Damage from pothole incident,1522.0,Minor
A00559,C00384,09/03/2025,Tire puncture during accident,4732.0,Major
A00572,C00397,07/07/2021,Parking lot scrape,2007.0,Major
A00573,C00397,03/07/2024,Rear bumper collision,2089.0,Severe
A00582,C00408,31/05/2025,Parking lot scrape,3734.0,Severe
A00583,C00408,05/10/2024,Windshield damage,2725.0,Severe
A00598,C00417,23/05/2022,Windshield damage,3599.0,Major
A00599,C00417,21/03/2022,Accident on slippery road,3343.0,Severe
A00600,C00417,15/05/2021,Front bumper scrape,2490.0,Severe
A00604,C00420,20/10/2024,Side panel scratch,1870.0,Minor
A00610,C00424,26/06/2024,Accident on slippery road,3464.0,Severe
A00611,C00424,05/05/2021,Head-on collision,2579.0,Major
A00617,C00427,10/05/2023,Accident on slippery road,425.0,Moderate
A00618,C00427,19/08/2021,Hood dent from minor crash,4562.0,Severe
A00619,C00430,05/04/2024,Tire puncture during accident,2133.0,Severe
A00620,C00431,05/01/2025,Accident on slippery road,4841.0,Minor
A00621,C00432,05/08/2023,Front bumper scrape,4607.0,Minor
A00622,C00432,28/09/2024,Parking lot scrape,224.0,Minor
A00623,C00432,24/10/2022,Side panel scratch,1106.0,Major
A00631,C00437,30/08/2024,Door dent from tight parking,3253.0,Moderate
A00632,C00437,27/09/2020,Damage from pothole incident,4927.0,Minor
A00633,C00438,25/06/2025,Minor fender bender,3550.0,Major
A00634,C00439,03/12/2024,Windshield damage,1344.0,Moderate
A00635,C00439,12/04/2023,Tire puncture during accident,2267.0,Minor
A00644,C00445,30/08/2025,Accident on slippery road,3364.0,Moderate
A00645,C00445,25/08/2022,Front-end collision,3397.0,Major
A00646,C00448,11/07/2021,Fender scratch from curb,1023.0,Moderate
A00653,C00453,27/02/2022,Fender scratch from curb,482.0,Moderate
A00654,C00453,04/12/2023,Rear bumper collision,3822.0,Minor
A00662,C00458,28/10/2021,Side mirror broken,1711.0,Severe
A00663,C00458,17/09/2022,Tire puncture during accident,786.0,Major
A00668,C00465,18/10/2022,Rear bumper collision,4851.0,Severe
A00669,C00465,01/09/2023,Hood dent from minor crash,2469.0,Moderate
A00670,C00465,04/12/2021,Front bumper scrape,2234.0,Moderate
A00673,C00469,19/08/2021,Minor parking lot accident,2049.0,Minor
A00674,C00469,21/01/2024,Windshield damage,1543.0,Minor
A00675,C00469,22/06/2025,Accident on slippery road,4338.0,Major
A00676,C00470,22/04/2024,Head-on collision,4740.0,Major
A00677,C00470,06/03/2024,Damage from pothole incident,4578.0,Moderate
A00678,C00471,28/09/2023,Minor parking lot accident,2403.0,Major
A00679,C00472,21/06/2023,Minor fender bender,2922.0,Severe
A00680,C00472,05/10/2020,Accident on slippery road,194.0,Severe
A00687,C00476,24/12/2023,Front bumper scrape,1918.0,Major
A00688,C00477,17/01/2024,Windshield damage,4950.0,Severe
A00689,C00477,19/11/2024,Head-on collision,3079.0,Moderate
A00694,C00480,25/12/2020,Front-end collision,3981.0,Minor
A00695,C00480,09/10/2023,Side mirror broken,3772.0,Major
A00696,C00481,16/11/2023,Parking lot scrape,3829.0,Major
A00697,C00481,07/09/2022,Tire puncture during accident,1429.0,Minor
A00710,C00492,08/04/2022,Damage from pothole incident,4620.0,Major
A00711,C00492,11/01/2023,Minor parking lot accident,2182.0,Minor
A00715,C00495,20/01/2025,Fender scratch from curb,1565.0,Severe
A00716,C00495,22/12/2021,Minor fender bender,1450.0,Major
A00727,C00502,04/07/2021,Rear bumper collision,4687.0,Severe
A00736,C00509,05/02/2025,Scratched paint on rear bumper,3926.0,Minor
A00737,C00509,18/03/2023,Front-end collision,368.0,Severe
A00738,C00510,31/12/2024,Accident on slippery road,1030.0,Moderate
A00739,C00510,23/04/2023,Front-end collision,2846.0,Major
A00740,C00513,27/12/2022,Rear bumper collision,1558.0,Moderate
A00746,C00517,14/05/2025,Scratched paint on rear bumper,4274.0,Moderate
A00747,C00518,08/06/2021,Minor collision at roundabout,1598.0,Moderate
A00748,C00518,04/08/2022,Rear bumper collision,3555.0,Moderate
A00749,C00518,05/01/2022,Windshield damage,1196.0,Severe
A00759,C00522,16/05/2021,Collision with pole,144.0,Moderate
A00760,C00524,07/03/2023,Accident on slippery road,4154.0,Moderate
A00761,C00524,06/11/2024,Accident on slippery road,3642.0,Minor
A00762,C00524,22/12/2023,Rear quarter panel dent,3750.0,Severe
A00773,C00533,01/11/2024,Side swipe from passing vehicle,700.0,Major
A00774,C00533,31/10/2023,Damage from pothole incident,2106.0,Severe
A00775,C00533,05/08/2021,Front bumper scrape,1645.0,Minor
A00783,C00537,02/07/2021,Side mirror broken,4801.0,Major
A00784,C00537,19/10/2024,Minor collision at roundabout,3068.0,Moderate
A00785,C00537,17/12/2022,Tire puncture during accident,1351.0,Moderate
A00787,C00539,15/06/2023,Front bumper scrape,2447.0,Major
A00788,C00543,18/12/2023,Head-on collision,3796.0,Major
A00789,C00544,07/09/2024,Rear bumper collision,4491.0,Minor
A00790,C00544,28/05/2025,Rear-end hit at traffic light,2085.0,Moderate
A00791,C00544,25/05/2022,Minor parking lot accident,1803.0,Moderate
A00800,C00551,09/06/2025,Fender scratch from curb,2123.0,Severe
A00801,C00551,24/10/2020,Rear quarter panel dent,4478.0,Major
A00802,C00551,04/04/2021,Rear bumper collision,4690.0,Minor
A00807,C00555,27/05/2024,Side panel scratch,2191.0,Major
A00808,C00555,15/04/2024,Side mirror broken,3664.0,Moderate
A00821,C00565,15/02/2024,Tire puncture during accident,974.0,Major
A00822,C00565,21/01/2025,Parking lot scrape,4992.0,Major
A00823,C00567,07/12/2023,Rear bumper collision,3220.0,Moderate
A00824,C00567,16/07/2021,Collision with pole,2983.0,Severe
A00832,C00574,13/02/2022,Rear quarter panel dent,4734.0,Moderate
A00833,C00574,30/05/2023,Head-on collision,4899.0,Major
A00841,C00579,01/11/2022,Minor parking lot accident,3520.0,Major
A00842,C00579,18/04/2023,Parking lot scrape,1423.0,Moderate
A00843,C00579,14/04/2021,Side panel scratch,2334.0,Major
A00844,C00580,08/03/2023,Scratched paint on rear bumper,4040.0,Moderate
A00845,C00580,04/01/2021,Side mirror broken,407.0,Major
A00846,C00580,22/04/2023,Minor collision at roundabout,1876.0,Moderate
A00850,C00585,02/11/2023,Front bumper scrape,2778.0,Severe
A00851,C00585,14/09/2024,Accident on slippery road,4900.0,Moderate
A00852,C00585,30/03/2025,Front-end collision,4677.0,Major
A00853,C00586,18/09/2020,Minor parking lot accident,2488.0,Moderate
A00854,C00587,22/11/2022,Accident on slippery road,2291.0,Major
A00855,C00589,03/07/2025,Fender scratch from curb,1847.0,Major
A00856,C00589,22/01/2021,Hood dent from minor crash,4918.0,Severe
A00857,C00589,25/04/2022,Side mirror broken,2766.0,Major
A00865,C00594,06/02/2021,Windshield damage,3659.0,Minor
A00866,C00594,21/12/2023,Accident on slippery road,4834.0,Minor
A00867,C00594,11/08/2025,Windshield damage,4482.0,Moderate
A00869,C00597,26/03/2024,Front bumper scrape,1821.0,Moderate
A00872,C00601,02/07/2023,Minor collision at roundabout,485.0,Major
A00876,C00609,21/12/2023,Fender scratch from curb,3362.0,Moderate
A00877,C00609,12/05/2025,Side panel scratch,603.0,Severe
A00878,C00609,17/07/2023,Side swipe from passing vehicle,3331.0,Minor
A00879,C00610,24/02/2025,Scratched paint on rear bumper,4552.0,Severe
A00883,C00617,25/05/2025,Windshield damage,2848.0,Severe
A00885,C00619,26/09/2020,Front bumper scrape,2144.0,Major
A00886,C00619,16/10/2022,Minor fender bender,4147.0,Severe
A00890,C00622,25/12/2024,Front-end collision,1169.0,Severe
A00891,C00625,18/03/2024,Fender scratch from curb,3765.0,Major
A00892,C00625,24/07/2022,Rear bumper collision,1972.0,Moderate
A00893,C00626,31/10/2024,Minor collision at roundabout,895.0,Major
A00894,C00626,24/05/2025,Hood dent from minor crash,861.0,Minor
A00899,C00629,09/03/2023,Rear-end hit at traffic light,309.0,Severe
A00900,C00629,26/10/2020,Parking lot scrape,4719.0,Major
A00901,C00629,22/01/2024,Parking lot scrape,3424.0,Major
A00903,C00631,23/03/2021,Minor collision at roundabout,311.0,Moderate
A00904,C00631,12/01/2022,Fender scratch from curb,1669.0,Moderate
A00905,C00632,15/03/2023,Head-on collision,2208.0,Minor
A00906,C00632,04/03/2022,Rear quarter panel dent,2672.0,Moderate
A00907,C00632,30/04/2024,Damage from pothole incident,3058.0,Severe
A00921,C00641,24/09/2021,Rear bumper collision,1879.0,Moderate
A00926,C00645,02/05/2024,Minor collision at roundabout,4696.0,Moderate
A00927,C00645,11/07/2021,Minor parking lot accident,4841.0,Moderate
A00931,C00647,08/10/2022,Damage from pothole incident,433.0,Severe
A00932,C00647,17/07/2021,Door dent from tight parking,3699.0,Major
A00933,C00648,13/02/2021,Fender scratch from curb,2753.0,Major
A00934,C00649,21/07/2023,Minor fender bender,845.0,Minor
A00935,C00649,17/05/2025,Scratched paint on rear bumper,842.0,Severe
A00938,C00652,21/04/2022,Rear-end hit at traffic light,1853.0,Moderate
A00939,C00652,18/08/2025,Side panel scratch,4748.0,Moderate
A00940,C00652,14/01/2021,Parking lot scrape,3328.0,Severe
A00946,C00656,02/04/2024,Door dent from tight parking,3407.0,Severe
A00950,C00660,09/03/2023,Scratched paint on rear bumper,196.0,Moderate
A00951,C00660,01/07/2024,Side swipe from passing vehicle,1795.0,Major
A00952,C00660,29/06/2021,Side mirror broken,246.0,Minor
A00960,C00665,24/02/2023,Front-end collision,3943.0,Minor
A00970,C00674,26/01/2023,Rear-end hit at traffic light,4405.0,Minor
A00985,C00682,23/08/2021,Tire puncture during accident,1170.0,Major
A00986,C00682,31/08/2023,Collision with pole,3133.0,Minor
A00987,C00682,06/09/2021,Accident on slippery road,1308.0,Severe
A00988,C00683,03/01/2022,Rear bumper collision,1366.0,Moderate
A00989,C00683,29/06/2023,Rear quarter panel dent,1238.0,Minor
A00990,C00683,25/10/2022,Scratched paint on rear bumper,1014.0,Moderate
A00997,C00687,03/05/2025,Tire puncture during accident,1952.0,Major
A00998,C00687,21/12/2022,Rear-end hit at traffic light,3115.0,Major
A00999,C00687,27/09/2020,Windshield damage,2736.0,Moderate
A01023,C00703,15/02/2022,Minor parking lot accident,4154.0,Moderate
A01024,C00703,30/12/2020,Side swipe from passing vehicle,642.0,Major
A01025,C00703,12/12/2021,Accident on slippery road,3535.0,Moderate
A01030,C00709,31/12/2023,Front bumper scrape,611.0,Severe
A01031,C00710,12/08/2021,Head-on collision,2443.0,Moderate
A01032,C00710,09/12/2024,Fender scratch from curb,3818.0,Minor
A01033,C00711,05/07/2021,Accident on slippery road,4959.0,Minor
A01034,C00711,29/09/2022,Collision with pole,3943.0,Severe
A01058,C00725,08/04/2025,Fender scratch from curb,2812.0,Minor
A01059,C00725,12/07/2022,Side swipe from passing vehicle,1900.0,Major
A01060,C00725,24/07/2023,Collision with pole,3511.0,Moderate
A01067,C00734,26/03/2022,Hood dent from minor crash,3809.0,Moderate
A01068,C00735,30/08/2025,Rear quarter panel dent,3173.0,Moderate
A01069,C00735,27/04/2024,Side panel scratch,2050.0,Minor
A01074,C00739,15/12/2022,Head-on collision,2531.0,Severe
A01075,C00739,04/08/2025,Damage from pothole incident,3527.0,Minor
A01078,C00742,21/12/2020,Fender scratch from curb,1223.0,Minor
A01079,C00742,10/08/2024,Rear bumper collision,2233.0,Moderate
A01080,C00742,06/11/2024,Front-end collision,1964.0,Severe
A01081,C00743,23/04/2022,Damage from pothole incident,1748.0,Major
A01082,C00743,17/07/2022,Front-end collision,4953.0,Severe
A01085,C00746,26/06/2023,Front bumper scrape,2229.0,Moderate
A01086,C00746,28/01/2023,Minor parking lot accident,3228.0,Severe
A01087,C00746,19/08/2022,Parking lot scrape,3808.0,Severe
A01088,C00748,14/02/2025,Fender scratch from curb,3321.0,Minor
A01089,C00748,03/08/2024,Side panel scratch,3172.0,Moderate
A01090,C00748,03/08/2024,Windshield damage,2365.0,Minor
A01091,C00749,14/03/2022,Scratched paint on rear bumper,1023.0,Severe
A01092,C00749,17/02/2021,Minor fender bender,1184.0,Minor
A01093,C00749,09/06/2023,Rear bumper collision,1399.0,Minor
A01094,C00751,31/05/2024,Front bumper scrape,240.0,Major
A01095,C00751,06/04/2022,Minor parking lot accident,275.0,Moderate
A01100,C00755,11/10/2022,Front-end collision,4652.0,Minor
A01101,C00755,02/11/2020,Rear quarter panel dent,2876.0,Moderate
A01106,C00759,12/03/2024,Fender scratch from curb,2935.0,Severe
A01117,C00769,24/09/2024,Parking lot scrape,664.0,Moderate
A01119,C00771,17/02/2021,Tire puncture during accident,839.0,Moderate
A01120,C00772,01/08/2021,Scratched paint on rear bumper,649.0,Major
A01121,C00772,15/10/2021,Minor parking lot accident,3270.0,Major
A01122,C00772,04/08/2025,Side mirror broken,3280.0,Minor
A01123,C00773,04/04/2023,Head-on collision,1829.0,Minor
A01124,C00774,18/07/2024,Hood dent from minor crash,2927.0,Minor
A01125,C00774,07/04/2022,Windshield damage,4008.0,Moderate
A01126,C00775,27/05/2023,Side swipe from passing vehicle,1682.0,Moderate
A01129,C00777,21/03/2022,Windshield damage,4606.0,Severe
A01130,C00777,25/09/2023,Side swipe from passing vehicle,517.0,Moderate
A01134,C00780,07/08/2024,Windshield damage,3283.0,Major
A01150,C00792,24/12/2024,Accident on slippery road,3804.0,Moderate
A01151,C00792,08/05/2021,Windshield damage,2331.0,Moderate
A01152,C00792,30/01/2024,Minor collision at roundabout,2239.0,Moderate
A01156,C00801,15/04/2021,Minor fender bender,3454.0,Moderate
A01157,C00801,14/02/2024,Accident on slippery road,2479.0,Major
A01158,C00801,07/08/2023,Door dent from tight parking,3033.0,Major
A01172,C00812,09/04/2022,Rear bumper collision,2361.0,Major
A01173,C00812,06/11/2020,Rear quarter panel dent,4850.0,Moderate
A01174,C00812,30/09/2022,Parking lot scrape,2136.0,Moderate
A01180,C00817,09/02/2021,Rear bumper collision,1246.0,Major
A01181,C00817,27/11/2023,Side mirror broken,4580.0,Major
A01188,C00822,01/11/2022,Rear quarter panel dent,989.0,Minor
A01189,C00822,09/05/2021,Rear-end hit at traffic light,3414.0,Minor
A01190,C00822,18/03/2025,Rear quarter panel dent,131.0,Minor
A01196,C00826,03/11/2020,Side mirror broken,777.0,Moderate
A01197,C00826,13/10/2024,Side swipe from passing vehicle,1511.0,Major
A01198,C00826,13/09/2020,Damage from pothole incident,3268.0,Minor
A01201,C00828,20/11/2021,Front-end collision,4895.0,Moderate
A01207,C00832,12/01/2022,Hood dent from minor crash,1087.0,Major
A01208,C00832,28/12/2023,Minor fender bender,3586.0,Major
A01209,C00832,31/05/2023,Windshield damage,485.0,Major
A01225,C00840,16/08/2023,Windshield damage,4452.0,Minor
A01226,C00840,21/04/2021,Door dent from tight parking,3652.0,Major
A01227,C00840,17/12/2020,Rear-end hit at traffic light,1866.0,Severe
A01229,C00843,02/03/2021,Side mirror broken,2121.0,Minor
A01230,C00843,05/11/2022,Scratched paint on rear bumper,3891.0,Moderate
A01231,C00843,12/11/2023,Minor parking lot accident,426.0,Major
A01232,C00844,06/02/2022,Front bumper scrape,3188.0,Severe
A01233,C00844,17/10/2020,Side swipe from passing vehicle,2313.0,Major
A01234,C00844,28/10/2024,Head-on collision,2457.0,Major
A01235,C00845,27/09/2021,Side swipe from passing vehicle,532.0,Major
A01239,C00848,28/04/2024,Front bumper scrape,3037.0,Major
A01240,C00848,10/08/2023,Side swipe from passing vehicle,2208.0,Severe
A01242,C00851,15/11/2021,Rear-end hit at traffic light,2284.0,Severe
A01243,C00851,19/01/2025,Hood dent from minor crash,1569.0,Severe
A01244,C00851,04/11/2024,Scratched paint on rear bumper,1177.0,Minor
A01257,C00862,19/07/2024,Minor fender bender,2683.0,Severe
A01258,C00862,01/02/2021,Side mirror broken,899.0,Moderate
A01259,C00862,31/03/2022,Side panel scratch,1203.0,Severe
A01260,C00863,26/08/2022,Tire puncture during accident,1686.0,Severe
A01280,C00874,19/02/2024,Minor parking lot accident,3687.0,Severe
A01281,C00874,07/03/2024,Side mirror broken,1128.0,Minor
A01282,C00874,15/03/2023,Front bumper scrape,464.0,Minor
A01283,C00875,08/02/2023,Accident on slippery road,974.0,Major
A01284,C00875,27/04/2022,Side panel scratch,1626.0,Severe
A01289,C00880,25/02/2021,Fender scratch from curb,3623.0,Minor
A01290,C00880,03/03/2022,Door dent from tight parking,3636.0,Severe
A01291,C00880,15/06/2022,Front bumper scrape,4884.0,Major
A01298,C00884,26/06/2023,Minor collision at roundabout,4834.0,Severe
A01299,C00884,16/10/2024,Hood dent from minor crash,2081.0,Major
A01300,C00885,25/08/2021,Damage from pothole incident,3954.0,Moderate
A01307,C00891,22/10/2023,Fender scratch from curb,1677.0,Severe
A01308,C00891,12/11/2020,Minor collision at roundabout,4457.0,Minor
A01310,C00893,06/12/2020,Collision with pole,3787.0,Major
A01318,C00899,10/08/2023,Fender scratch from curb,874.0,Minor
A01319,C00899,31/07/2021,Door dent from tight parking,2872.0,Minor
A01330,C00914,25/07/2021,Side swipe from passing vehicle,3164.0,Moderate
A01331,C00914,09/01/2025,Collision with pole,3711.0,Moderate
A01332,C00914,01/12/2020,Windshield damage,3194.0,Minor
A01333,C00915,18/01/2021,Windshield damage,716.0,Severe
A01334,C00915,19/02/2024,Windshield damage,1037.0,Minor
A01341,C00919,02/02/2023,Hood dent from minor crash,717.0,Major
